Lap;XTE;Steering;Throttle;Velocity;Acceleration
1;0.05203202;-0.9666591;0.3146976;0.1237566;0.1053639
1;0.05203202;-0.9666591;0.3146976;0.1237566;0.1053639
1;0.05203884;-0.9666591;0.3146976;0.141325;0.1237566
1;0.05203884;-0.9666591;0.3146976;0.141325;0.1237566
1;0.05203585;-0.9666591;0.3146976;0.1621405;0.141325
1;0.05203585;-0.9666591;0.3146976;0.1621405;0.141325
1;0.0519282;-0.9712576;0.3146932;0.2234091;0.2020444
1;0.05181663;-0.9712576;0.3146932;0.2189782;0.2234091
1;0.05181663;-0.9712576;0.3146932;0.2189782;0.2234091
1;0.05181663;-0.9712576;0.3146932;0.2189782;0.2234091
1;0.05175774;-0.9712576;0.3146932;0.2523232;0.2189782
1;0.05163762;-0.9712576;0.3146932;0.2927561;0.2694888
1;0.05151476;-0.9712576;0.3146932;0.3058208;0.2927561
1;0.05143108;-0.9712576;0.3146932;0.3133921;0.3058208
1;0.05143108;-0.9712576;0.3146932;0.3133921;0.3058208
1;0.05143108;-1.25663;0.3161259;0.3133921;0.3058208
1;0.05131739;-1.25663;0.3161259;0.3354061;0.3133921
1;0.05108882;-1.25663;0.3161259;0.3677568;0.3455517
1;0.05094491;-1.25663;0.3161259;0.3890098;0.3677568
1;0.05081173;-1.25663;0.3161259;0.4098093;0.3890098
1;0.05081173;-1.25663;0.3161259;0.4098093;0.3890098
1;0.05081173;-1.25663;0.3161259;0.4098093;0.3890098
1;0.05064308;-1.752668;0.3183769;0.4308127;0.4098093
1;0.05044739;-1.752668;0.3183769;0.4437644;0.4486875
1;0.05022873;-1.752668;0.3183769;0.4769931;0.4437644
1;0.05003803;-1.752668;0.3183769;0.488197;0.4769931
1;0.05003803;-1.752668;0.3183769;0.488197;0.4769931
1;0.05003803;-1.752668;0.3183769;0.488197;0.4769931
1;0.04981435;-1.48368;0.3183077;0.5139073;0.488197
1;0.04947525;-1.48368;0.3183077;0.5368077;0.5083178
1;0.04933497;-1.48368;0.3183077;0.5372276;0.5368077
1;0.04907384;-1.48368;0.3183077;0.5789528;0.5372276
1;0.04907384;-1.48368;0.3183077;0.5789528;0.5372276
1;0.04907384;-1.48368;0.3183077;0.5789528;0.5372276
1;0.04884983;-1.48368;0.3183077;0.5747781;0.5789528
1;0.04841531;-1.518579;0.3171058;0.618673;0.5736222
1;0.04811117;-1.518579;0.3171058;0.645245;0.618673
1;0.04811117;-1.518579;0.3171058;0.645245;0.618673
1;0.04782525;-1.518579;0.3171058;0.6549742;0.645245
1;0.04782525;-1.518579;0.3171058;0.6549742;0.645245
1;0.04748523;-1.518579;0.3171058;0.6735493;0.6549742
1;0.04685142;-1.518579;0.3171058;0.6997173;0.6738013
1;0.0464521;-1.126572;0.3136677;0.7233589;0.6997173
1;0.04612905;-1.126572;0.3136677;0.7172821;0.7233589
1;0.04612905;-1.126572;0.3136677;0.7172821;0.7233589
1;0.04612905;-1.126572;0.3136677;0.7172821;0.7233589
1;0.04574144;-1.126572;0.3136677;0.750931;0.7172821
1;0.04459468;-1.093532;0.3125466;0.8073299;0.7913194
1;0.04459468;-1.093532;0.3125466;0.8073299;0.7913194
1;0.04459468;-1.093532;0.3125466;0.8073299;0.7913194
1;0.04421028;-1.093532;0.3125466;0.8001797;0.8073299
1;0.04421028;-1.093532;0.3125466;0.8001797;0.8073299
1;0.04384939;-1.093532;0.3125466;0.8455;0.8001797
1;0.04278259;-1.044849;0.3141885;0.8754101;0.8590456
1;0.04278259;-1.044849;0.3141885;0.8754101;0.8590456
1;0.04278259;-1.044849;0.3141885;0.8754101;0.8590456
1;0.04240181;-1.044849;0.3141885;0.8977302;0.8754101
1;0.04240181;-1.044849;0.3141885;0.8977302;0.8754101
1;0.04200379;-1.044849;0.3141885;0.9050045;0.8977302
1;0.04100481;-1.408275;0.3160944;0.953612;0.9413628
1;0.04100481;-1.408275;0.3160944;0.953612;0.9413628
1;0.04069299;-1.408275;0.3160944;0.967014;0.953612
1;0.04069299;-1.408275;0.3160944;0.967014;0.953612
1;0.04069299;-1.408275;0.3160944;0.967014;0.953612
1;0.04024085;-1.408275;0.3160944;0.976011;0.967014
1;0.03934921;-1.343053;0.3140751;1.025547;1.0008
1;0.03890833;-1.343053;0.3140751;1.037886;1.025547
1;0.03847488;-1.343053;0.3140751;1.020349;1.037886
1;0.03847488;-1.343053;0.3140751;1.020349;1.037886
1;0.03847488;-1.343053;0.3140751;1.020349;1.037886
1;0.03789901;-1.343053;0.3140751;1.059706;1.020349
